;4;5;6;7;8;9;10;12;14;16;20;25
0;1;1.5;2;2.5;3;3.3;3.5;3.8;4;4.2;4.4;4.6
32;2.927;3.688;4.395;5.03;5.584;6.037;6.392;6.888;7.184;7.385;7.654;7.887
36;3.325;4.171;4.916;5.579;6.134;6.593;6.91;7.315;7.552;7.726;7.976;8.186
40;3.684;4.585;5.351;6.028;6.598;7.018;7.284;7.615;7.822;7.981;8.218;8.427
45;4.077;5.013;5.812;6.495;7.031;7.392;7.615;7.893;8.082;8.234;8.469;8.688
52;4.514;5.485;6.293;6.96;7.418;7.732;7.939;8.186;8.37;8.522;8.771;9.023
60;4.87;5.852;6.673;7.268;7.674;7.969;8.186;8.441;8.634;8.797;9.08;9.365
70;5.125;6.142;6.969;7.451;7.83;8.122;8.359;8.699;8.886;9.089;9.417;9.736
75;5.339;6.393;7.16;7.56;7.856;8.149;8.394;8.78;9.033;9.234;9.566;9.92
80;5.527;6.581;7.294;7.677;7.934;8.145;8.396;8.819;9.144;9.336;9.707;10.111
90;5.756;6.815;7.482;7.85;8.114;8.301;8.461;8.753;9.172;9.518;9.947;10.475
100;5.835;6.903;7.581;7.972;8.241;8.444;8.615;8.923;9.204;9.447;10.045;10.736
110;5.759;6.834;7.553;8.01;8.322;8.551;8.74;9.084;9.387;9.655;10.194;10.913
120;5.505;6.585;7.345;7.852;8.221;8.526;8.791;9.203;9.547;9.885;10.563;11.528
130;5;6.023;6.868;7.453;7.877;8.225;8.537;9.134;9.657;10.096;10.979;12.277
135;4.618;5.618;6.473;7.154;7.63;8.007;8.33;8.929;9.524;10.109;11.221;12.68
140;4.18;5.152;5.997;6.75;7.318;7.741;8.082;8.677;9.278;9.88;11.376;13.115
150;3.338;4.191;4.989;5.719;6.386;6.978;7.437;8.122;8.689;9.274;10.642;13.29
160;2.743;3.451;4.15;4.824;5.465;6.068;6.641;7.554;8.207;8.77;9.953;12.184
165;2.578;3.243;3.904;4.549;5.171;5.762;6.325;7.307;8.007;8.572;9.692;11.679
170;2.451;3.082;3.712;4.332;4.933;5.511;6.06;7.068;7.814;8.39;9.472;11.214
180;2.262;2.845;3.428;4.008;4.574;5.124;5.652;6.648;7.466;8.077;9.101;10.537
180;2.262;2.845;3.428;4.008;4.574;5.124;5.652;6.648;7.466;8.077;9.101;10.537
190;2.451;3.082;3.712;4.332;4.933;5.511;6.06;7.068;7.814;8.39;9.472;11.214
195;2.578;3.243;3.904;4.549;5.171;5.762;6.325;7.307;8.007;8.572;9.692;11.679
200;2.743;3.451;4.15;4.824;5.465;6.068;6.641;7.554;8.207;8.77;9.953;12.184
210;3.338;4.191;4.989;5.719;6.386;6.978;7.437;8.122;8.689;9.274;10.642;13.29
220;4.18;5.152;5.997;6.75;7.318;7.741;8.082;8.677;9.278;9.88;11.376;13.115
225;4.618;5.618;6.473;7.154;7.63;8.007;8.33;8.929;9.524;10.109;11.221;12.68
230;5;6.023;6.868;7.453;7.877;8.225;8.537;9.134;9.657;10.096;10.979;12.277
240;5.505;6.585;7.345;7.852;8.221;8.526;8.791;9.203;9.547;9.885;10.563;11.528
250;5.759;6.834;7.553;8.01;8.322;8.551;8.74;9.084;9.387;9.655;10.194;10.913
260;5.835;6.903;7.581;7.972;8.241;8.444;8.615;8.923;9.204;9.447;10.045;10.736
270;5.756;6.815;7.482;7.85;8.114;8.301;8.461;8.753;9.172;9.518;9.947;10.475
280;5.527;6.581;7.294;7.677;7.934;8.145;8.396;8.819;9.144;9.336;9.707;10.111
285;5.339;6.393;7.16;7.56;7.856;8.149;8.394;8.78;9.033;9.234;9.566;9.92
290;5.125;6.142;6.969;7.451;7.83;8.122;8.359;8.699;8.886;9.089;9.417;9.736
300;4.87;5.852;6.673;7.268;7.674;7.969;8.186;8.441;8.634;8.797;9.08;9.365
308;4.514;5.485;6.293;6.96;7.418;7.732;7.939;8.186;8.37;8.522;8.771;9.023
315;4.077;5.013;5.812;6.495;7.031;7.392;7.615;7.893;8.082;8.234;8.469;8.688
320;3.684;4.585;5.351;6.028;6.598;7.018;7.284;7.615;7.822;7.981;8.218;8.427
324;3.325;4.171;4.916;5.579;6.134;6.593;6.91;7.315;7.552;7.726;7.976;8.186
328;2.927;3.688;4.395;5.03;5.584;6.037;6.392;6.888;7.184;7.385;7.654;7.887
360;1;1.5;2;2.5;3;3.3;3.5;3.8;4;4.2;4.4;4.6
